unit,date,<20,20s,30s,40s,50s,60s,70s,80s,90s
Durham Regional Health Unit,01-25,,1.0,,,,,,,
Durham Regional Health Unit,01-26,,1.0,,,,,,,
Durham Regional Health Unit,01-27,,1.0,,,,,,,
Durham Regional Health Unit,01-28,,1.0,,,,,,,
Durham Regional Health Unit,01-29,,1.0,,,,,,,
Durham Regional Health Unit,01-30,,1.0,,,,,,,
Durham Regional Health Unit,01-31,,1.0,,,,,,,
Durham Regional Health Unit,02-01,,1.0,,,,,,,
Durham Regional Health Unit,02-02,,1.0,,,,,,,
Durham Regional Health Unit,02-03,,1.0,,,,,,,
Durham Regional Health Unit,02-04,,1.0,,,,,,,
Durham Regional Health Unit,02-05,,1.0,,,,,,,
Durham Regional Health Unit,02-06,,1.0,,,,,,,
Durham Regional Health Unit,02-07,,1.0,,,,,,,
Durham Regional Health Unit,02-08,,1.0,,,,,,,
Durham Regional Health Unit,02-09,,1.0,,,,,,,
Durham Regional Health Unit,02-10,,1.0,,,,,,,
Durham Regional Health Unit,02-11,,1.0,,,,,,,
Durham Regional Health Unit,02-12,,1.0,,,,,,,
Durham Regional Health Unit,02-13,,1.0,,,,,,,
Durham Regional Health Unit,02-14,,1.0,,,,,,,
Durham Regional Health Unit,02-15,,1.0,,,,,,,
Durham Regional Health Unit,02-16,,1.0,,,,,,,
Durham Regional Health Unit,02-17,,1.0,,,,,,,
Durham Regional Health Unit,02-18,,1.0,,,,,,,
Durham Regional Health Unit,02-19,,1.0,,,,,,,
Durham Regional Health Unit,02-20,,1.0,,,,,,,
Durham Regional Health Unit,02-21,,1.0,,,,,,,
Durham Regional Health Unit,02-22,,1.0,,,,,,,
Durham Regional Health Unit,02-23,,1.0,,,,,,,
Durham Regional Health Unit,02-24,,1.0,,,,,,,
Durham Regional Health Unit,02-25,,1.0,,,,,,,
Durham Regional Health Unit,02-26,,1.0,,,,,,,
Durham Regional Health Unit,02-27,,1.0,,,,,,,
Durham Regional Health Unit,02-28,,1.0,,,,,,,
Durham Regional Health Unit,02-29,,1.0,,,,,,,
Durham Regional Health Unit,03-01,,1.0,,,,,,,
Durham Regional Health Unit,03-02,,1.0,,,,,,,
Durham Regional Health Unit,03-03,,1.0,,,,,,,
Durham Regional Health Unit,03-04,,1.0,,,,,,,
Durham Regional Health Unit,03-05,,1.0,,,,,,,
Durham Regional Health Unit,03-06,,1.0,,,,,,,
Durham Regional Health Unit,03-07,,1.0,,,,,,,
Durham Regional Health Unit,03-08,,1.0,,,,,,,
Durham Regional Health Unit,03-09,,1.0,,,,,,,
Durham Regional Health Unit,03-10,,1.0,,,,,,,
Durham Regional Health Unit,03-11,,1.0,,,,,,,
Durham Regional Health Unit,03-12,,1.0,,,1.0,,,,
Durham Regional Health Unit,03-13,,1.0,,,1.0,,,,
Durham Regional Health Unit,03-14,,1.0,,,1.0,,,,
Durham Regional Health Unit,03-15,,1.0,,,1.0,,,,
Durham Regional Health Unit,03-16,,2.0,,1.0,1.0,,,,
Durham Regional Health Unit,03-17,,2.0,,1.0,1.0,1.0,,,
Durham Regional Health Unit,03-18,,2.0,,1.0,1.0,1.0,,,
Durham Regional Health Unit,03-19,1.0,3.0,,2.0,2.0,1.0,,,
Durham Regional Health Unit,03-20,1.0,3.0,,2.0,3.0,2.0,1.0,,
Durham Regional Health Unit,03-21,1.0,3.0,,2.0,3.0,2.0,1.0,,
Durham Regional Health Unit,03-22,1.0,3.0,,4.0,4.0,3.0,1.0,,
Durham Regional Health Unit,03-23,1.0,3.0,,4.0,4.0,3.0,2.0,,
Durham Regional Health Unit,03-24,1.0,4.0,,4.0,4.0,4.0,3.0,1.0,
Durham Regional Health Unit,03-25,1.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,
Durham Regional Health Unit,03-26,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,
Durham Regional Health Unit,03-27,1.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,
Durham Regional Health Unit,03-28,1.0,5.0,7.0,5.0,6.0,5.0,4.0,2.0,
Durham Regional Health Unit,03-29,1.0,7.0,7.0,6.0,6.0,5.0,5.0,2.0,1.0
Durham Regional Health Unit,03-30,1.0,11.0,10.0,7.0,7.0,6.0,6.0,4.0,2.0
Durham Regional Health Unit,03-31,1.0,12.0,10.0,10.0,10.0,8.0,9.0,4.0,3.0
Durham Regional Health Unit,04-01,1.0,15.0,10.0,12.0,14.0,9.0,9.0,5.0,4.0
Durham Regional Health Unit,04-02,1.0,16.0,11.0,15.0,21.0,9.0,9.0,6.0,4.0
Durham Regional Health Unit,04-03,1.0,18.0,13.0,18.0,30.0,11.0,9.0,7.0,7.0
Durham Regional Health Unit,04-04,1.0,20.0,17.0,20.0,36.0,14.0,10.0,7.0,9.0
Durham Regional Health Unit,04-05,1.0,22.0,17.0,20.0,36.0,14.0,10.0,7.0,9.0
Durham Regional Health Unit,04-06,1.0,23.0,19.0,21.0,38.0,19.0,12.0,8.0,10.0
Durham Regional Health Unit,04-07,1.0,27.0,21.0,21.0,38.0,21.0,13.0,8.0,10.0
