date,<20,20s,demo,new
2020-09-22,73,189,262,4.0
2020-09-21,72,186,258,0.0
2020-09-20,72,186,258,9.0
2020-09-19,67,182,249,10.0
2020-09-18,60,179,239,13.0
2020-09-17,49,177,226,0.0
2020-09-16,49,177,226,3.0
2020-09-15,47,176,223,4.0
2020-09-14,46,173,219,2.0
2020-09-13,46,171,217,6.0
2020-09-12,45,166,211,5.0
2020-09-11,45,161,206,2.0
2020-09-10,45,159,204,1.0
2020-09-09,45,158,203,0.0
2020-09-08,45,158,203,0.0
2020-09-07,45,158,203,1.0
2020-09-06,45,157,202,1.0
2020-09-05,45,156,201,0.0
2020-09-04,45,156,201,0.0
2020-09-03,45,156,201,0.0
2020-09-02,45,156,201,1.0
2020-09-01,45,155,200,0.0
2020-08-31,45,155,200,0.0
2020-08-30,45,155,200,1.0
2020-08-29,45,154,199,0.0
2020-08-28,45,154,199,0.0
2020-08-27,45,154,199,0.0
2020-08-26,45,154,199,0.0
2020-08-25,45,154,199,1.0
2020-08-24,45,153,198,0.0
2020-08-23,45,153,198,1.0
2020-08-22,45,152,197,0.0
2020-08-21,45,152,197,0.0
2020-08-20,45,152,197,0.0
2020-08-19,45,152,197,0.0
2020-08-18,45,152,197,5.0
2020-08-17,41,151,192,1.0
2020-08-16,41,150,191,2.0
2020-08-15,40,149,189,0.0
2020-08-14,40,149,189,8.0
2020-08-13,33,148,181,0.0
2020-08-12,33,148,181,1.0
2020-08-11,32,148,180,1.0
2020-08-10,32,147,179,0.0
2020-08-09,32,147,179,1.0
2020-08-08,32,146,178,0.0
2020-08-07,32,146,178,0.0
2020-08-06,32,146,178,0.0
2020-08-05,32,146,178,0.0
2020-08-04,32,146,178,1.0
2020-08-03,32,145,177,0.0
2020-08-02,32,145,177,1.0
2020-08-01,32,144,176,0.0
2020-07-31,32,144,176,1.0
2020-07-30,32,143,175,2.0
2020-07-29,30,143,173,0.0
2020-07-28,30,143,173,0.0
2020-07-27,30,143,173,0.0
2020-07-26,30,143,173,1.0
2020-07-25,30,142,172,0.0
2020-07-24,30,142,172,0.0
2020-07-23,30,142,172,4.0
2020-07-22,29,139,168,2.0
2020-07-21,29,137,166,0.0
2020-07-20,29,137,166,0.0
2020-07-19,29,137,166,0.0
2020-07-18,29,137,166,0.0
2020-07-17,29,137,166,0.0
2020-07-16,29,137,166,0.0
2020-07-15,29,137,166,0.0
2020-07-14,29,137,166,0.0
2020-07-13,29,137,166,0.0
2020-07-12,29,137,166,0.0
2020-07-11,29,137,166,0.0
2020-07-10,29,137,166,1.0
2020-07-09,29,136,165,0.0
2020-07-08,29,136,165,0.0
2020-07-07,29,136,165,2.0
2020-07-06,29,134,163,0.0
2020-07-05,29,134,163,0.0
2020-07-04,29,134,163,0.0
2020-07-03,29,134,163,0.0
2020-07-02,29,134,163,0.0
2020-07-01,29,134,163,1.0
2020-06-30,29,133,162,0.0
2020-06-29,29,133,162,1.0
2020-06-28,29,132,161,3.0
2020-06-27,29,129,158,4.0
2020-06-26,28,126,154,3.0
2020-06-25,27,124,151,1.0
2020-06-24,27,123,150,1.0
2020-06-23,27,122,149,1.0
2020-06-22,27,121,148,1.0
2020-06-21,27,120,147,1.0
2020-06-20,27,119,146,1.0
2020-06-19,27,118,145,0.0
2020-06-18,27,118,145,2.0
2020-06-17,25,118,143,1.0
2020-06-16,24,118,142,1.0
2020-06-15,23,118,141,4.0
2020-06-14,22,115,137,4.0
2020-06-13,21,112,133,2.0
2020-06-12,20,111,131,3.0
2020-06-11,19,109,128,3.0
2020-06-10,19,106,125,0.0
2020-06-09,19,106,125,4.0
2020-06-08,19,102,121,1.0
2020-06-07,19,101,120,2.0
2020-06-06,19,99,118,0.0
2020-06-05,19,99,118,3.0
2020-06-04,17,98,115,1.0
2020-06-03,17,97,114,0.0
2020-06-02,17,97,114,2.0
2020-06-01,16,96,112,1.0
2020-05-31,15,96,111,2.0
2020-05-30,14,95,109,3.0
2020-05-29,13,93,106,5.0
2020-05-28,13,88,101,2.0
2020-05-27,13,86,99,0.0
2020-05-26,13,86,99,1.0
2020-05-25,13,85,98,2.0
2020-05-24,13,83,96,0.0
2020-05-23,13,83,96,2.0
2020-05-22,13,81,94,0.0
2020-05-21,13,81,94,0.0
2020-05-20,13,81,94,1.0
2020-05-19,13,80,93,1.0
2020-05-18,13,79,92,2.0
2020-05-17,13,77,90,0.0
2020-05-16,13,77,90,2.0
2020-05-15,13,75,88,0.0
2020-05-14,13,75,88,0.0
2020-05-13,13,75,88,0.0
2020-05-12,13,75,88,3.0
2020-05-11,10,75,85,1.0
2020-05-10,10,74,84,3.0
2020-05-09,8,73,81,1.0
2020-05-08,8,72,80,0.0
2020-05-07,8,72,80,0.0
2020-05-06,8,72,80,0.0
2020-05-05,8,72,80,1.0
2020-05-04,8,71,79,0.0
2020-05-03,8,71,79,0.0
2020-05-02,8,71,79,1.0
2020-05-01,8,70,78,2.0
2020-04-30,7,69,76,2.0
2020-04-29,7,67,74,3.0
2020-04-28,7,64,71,0.0
2020-04-27,7,64,71,0.0
2020-04-26,7,64,71,1.0
2020-04-25,7,63,70,4.0
2020-04-24,6,60,66,1.0
2020-04-23,5,60,65,1.0
2020-04-22,4,60,64,0.0
2020-04-21,4,60,64,4.0
2020-04-20,4,56,60,2.0
2020-04-19,4,54,58,11.0
2020-04-18,4,43,47,4.0
2020-04-17,4,39,43,1.0
2020-04-16,4,38,42,3.0
2020-04-15,3,36,39,1.0
2020-04-14,3,35,38,0.0
2020-04-13,3,35,38,3.0
2020-04-12,2,33,35,3.0
2020-04-11,2,30,32,0.0
2020-04-10,2,30,32,1.0
2020-04-09,2,29,31,4.0
2020-04-08,1,26,27,0.0
2020-04-07,1,26,27,4.0
2020-04-06,1,22,23,1.0
2020-04-05,1,21,22,2.0
2020-04-04,1,19,20,2.0
2020-04-03,1,17,18,2.0
2020-04-02,1,15,16,1.0
2020-04-01,1,14,15,3.0
2020-03-31,1,11,12,1.0
2020-03-30,1,10,11,4.0
2020-03-29,1,6,7,2.0
2020-03-28,1,4,5,1.0
2020-03-27,1,3,4,0.0
2020-03-26,1,3,4,0.0
2020-03-25,1,3,4,0.0
2020-03-24,1,3,4,1.0
2020-03-23,1,2,3,0.0
2020-03-22,1,2,3,0.0
2020-03-21,1,2,3,0.0
2020-03-20,1,2,3,0.0
2020-03-19,1,2,3,2.0
2020-03-18,0,1,1,0.0
2020-03-17,0,1,1,0.0
2020-03-16,0,1,1,1.0
2020-03-15,0,0,0,0.0
2020-03-14,0,0,0,0.0
2020-03-13,0,0,0,0.0
2020-03-12,0,0,0,0.0
2020-03-11,0,0,0,0.0
2020-03-10,0,0,0,0.0
2020-03-09,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-07,0,0,0,0.0
2020-03-06,0,0,0,0.0
2020-03-05,0,0,0,0.0
2020-03-04,0,0,0,0.0
2020-03-03,0,0,0,0.0
2020-03-02,0,0,0,0.0
2020-03-01,0,0,0,0.0
2020-02-29,0,0,0,0.0
2020-02-28,0,0,0,0.0
2020-02-27,0,0,0,0.0
2020-02-26,0,0,0,0.0
2020-02-25,0,0,0,0.0
