date,total,new,avg
2021-03-02,6194.0,12.0,10.428571428571429
2021-03-01,6182.0,5.0,11.571428571428571
2021-02-28,6172.0,21.0,11.571428571428571
2021-02-27,6149.0,6.0,10.0
2021-02-26,6143.0,11.0,11.428571428571429
2021-02-25,6133.0,8.0,11.571428571428571
2021-02-24,6126.0,10.0,12.285714285714286
2021-02-23,6118.0,20.0,12.142857142857142
2021-02-22,6098.0,5.0,10.0
2021-02-21,6093.0,10.0,10.4286
2021-02-20,6083.0,16.0,10.8571
2021-02-19,6067.0,12.0,12.857142857142858
2021-02-18,6055.0,13.0,13.0
2021-02-17,6042.0,9.0,14.571428571428571
2021-02-16,6033.0,5.0,16.142857142857142
2021-02-15,6027.0,8.0,17.857142857142858
2021-02-14,6018.0,13.0,19.571428571428573
2021-02-13,6005.0,30.0,22.571428571428573
2021-02-12,5973.0,13.0,22.714285714285715
2021-02-11,5959.0,24.0,25.285714285714285
2021-02-10,5934.0,20.0,24.571428571428573
2021-02-09,5913.0,17.0,27.142857142857142
2021-02-08,5896.0,20.0,27.0
2021-02-07,5875.0,34.0,26.714285714285715
2021-02-06,5840.0,31.0,28.285714285714285
2021-02-05,5808.0,31.0,28.0
2021-02-04,5779.0,19.0,29.857142857
2021-02-03,5760.0,38.0,32.714285714
2021-02-02,5722.0,16.0,32.857142857
2021-02-01,5706.0,18.0,33.285714286
2021-01-31,5688.0,45.0,34.571428571
2021-01-30,5643.0,29.0,34.285714286
2021-01-29,5614.0,44.0,37.285714286
2021-01-28,5561.0,39.0,38.42857142857143
2021-01-27,5527.0,39.0,41.85714285714285
2021-01-26,5488.0,19.0,48.57142857142857
2021-01-25,5470.0,27.0,55.57142857142857
2021-01-24,5443.0,43.0,58.57142857142857
2021-01-23,5395.0,50.0,60.142857142857146
2021-01-22,5347.0,52.0,69.71428571428571
2021-01-21,5296.0,63.0,71.0
2021-01-20,5233.0,86.0,75.42857142857143
2021-01-19,5149.0,68.0,80.28571428571429
2021-01-18,5083.0,48.0,81.85714285714286
2021-01-17,5041.0,54.0,95.42857142857144
2021-01-16,4989.0,117.0,104.28571428571428
2021-01-15,4872.0,61.0,99.0
2021-01-14,4804.0,94.0,97.85714285714286
2021-01-12,4710.0,120.0,97.42857142857144
2021-01-12,4592.0,79.0,96.85714285714286
2021-01-11,4516.0,143.0,90.85714285714286
2021-01-10,4368.0,116.0,92.71428571428572
2021-01-09,,80.0,90.7125
2021-01-08,,53.0,90.875
2021-01-07,4127.0,91.0,107.0
2021-01-06,3940.0,116.0,94.0
2021-01-05,3824.0,37.0,86.85714285714286
2021-01-04,3787.0,156.0,100.57142857142856
2021-01-03,3631.0,124.0,90.28571428571428
2021-01-02,3507.0,69.0,85.57142857142857
2021-01-01,3438.0,81.0,87.85714285714286
2020-12-31,3357.0,75.0,83.14285714285714
2020-12-30,3282.0,66.0,78.42857142857143
2020-12-29,3216.0,133.0,76.28571428571429
2020-12-28,3083.0,84.0,69.28571428571429
2020-12-27,2999.0,91.0,67.0
2020-12-26,2908.0,85.0,66.42857142857143
2020-12-25,2823.0,48.0,64.0
2020-12-24,2775.0,42.0,67.71428571428571
2020-12-23,2733.0,51.0,72.14285714285714
2020-12-22,2682.0,84.0,73.0
2020-12-21,2598.0,68.0,64.71428571428571
2020-12-20,2530.0,87.0,60.71428571428572
2020-12-19,2443.0,68.0,55.142857142857146
2020-12-18,2375.0,74.0,50.85714285714285
2020-12-17,2301.0,73.0,44.85714285714285
