date,London,Durham,Halton,Hamilton,Ottawa,Waterloo,Windsor
2021-03-08,6058.0,11754.0,8920.0,10003.0,14521.0,10286.0,12643.0
2021-03-07,6051.0,11745.0,8894.0,10002.0,14507.0,10273.0,12629.0
2021-03-06,6047.0,11690.0,8882.0,10000.0,14485.0,10253.0,12623.0
2021-03-05,6045.0,11648.0,8869.0,9969.0,14476.0,10241.0,12618.0
2021-03-04,6044.0,11638.0,8859.0,9964.0,14454.0,10231.0,12617.0
2021-03-03,6033.0,11611.0,8858.0,9937.0,14434.0,10216.0,12601.0
2021-03-02,6031.0,11597.0,8855.0,9933.0,14412.0,10213.0,12596.0
2021-03-01,6018.0,11571.0,8845.0,9921.0,14372.0,10192.0,12590.0
2021-02-28,6016.0,11541.0,8829.0,9919.0,14335.0,10164.0,12584.0
2021-02-27,6015.0,11518.0,8814.0,9904.0,14312.0,10145.0,12582.0
2021-02-26,6007.0,11501.0,8788.0,9903.0,14290.0,10115.0,12565.0
2021-02-25,6002.0,11473.0,8772.0,9887.0,14247.0,10101.0,12555.0
2021-02-24,6002.0,11442.0,8760.0,9871.0,14217.0,10064.0,12541.0
2021-02-23,5997.0,11424.0,8747.0,9861.0,14176.0,10032.0,12532.0
2021-02-22,5990.0,11397.0,8739.0,9856.0,14156.0,10026.0,12511.0
2021-02-21,5978.0,11372.0,8732.0,9846.0,14145.0,10016.0,12493.0
2021-02-20,5975.0,11348.0,8723.0,9839.0,14106.0,10011.0,12488.0
2021-02-19,5971.0,11317.0,8714.0,9839.0,14053.0,10006.0,12472.0
2021-02-18,5960.0,11274.0,8702.0,9802.0,14016.0,9990.0,12462.0
2021-02-17,5960.0,11245.0,8690.0,9781.0,13974.0,9971.0,12454.0
2021-02-16,5950.0,11230.0,8675.0,9764.0,13948.0,9960.0,12452.0
2021-02-15,5950.0,11209.0,8666.0,9756.0,13898.0,9955.0,12443.0
2021-02-14,5950.0,11191.0,8636.0,9751.0,13873.0,9941.0,12443.0
2021-02-13,5950.0,11191.0,8636.0,9751.0,13873.0,9941.0,12443.0
2021-02-12,5941.0,11165.0,8616.0,9733.0,13852.0,9923.0,12434.0
2021-02-11,5911.0,11131.0,8583.0,9706.0,13803.0,9884.0,12380.0
2021-02-10,5898.0,11090.0,8559.0,9664.0,13750.0,9828.0,12343.0
2021-02-09,5872.0,11042.0,8516.0,9622.0,13708.0,9761.0,12326.0
2021-02-08,5852.0,11017.0,8481.0,9584.0,13665.0,9726.0,12292.0
2021-02-07,5833.0,10999.0,8440.0,9549.0,13639.0,9688.0,12274.0
2021-02-06,5818.0,10964.0,8403.0,9535.0,13606.0,9648.0,12246.0
2021-02-05,5777.0,10910.0,8359.0,9472.0,13548.0,9603.0,12226.0
