original,rename
Algoma Public Health Unit,The District of Algoma Health Unit
Brant County Health Unit,Brant County Health Unit
Chatham-Kent Health Unit,Chatham-Kent Health Unit
Durham Region Health Department,Durham Regional Health Unit
Eastern Ontario Health Unit,The Eastern Ontario Health Unit
Grey Bruce Health Unit,Grey Bruce Health Unit
Haldimand-Norfolk Health Unit,Haldimand-Norfolk Health Unit
"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit"
Halton Region Health Department,Halton Regional Health Unit
Hamilton Public Health Services,City of Hamilton Health Unit
Hastings and Prince Edward Counties Health Unit,Hastings and Prince Edward Counties Health Unit
Huron Perth District Health Unit,Huron County Health Unit
"Kingston, Frontenac and Lennox & Addington Public Health","Kingston, Frontenac and Lennox and Addington Health Unit"
Lambton Public Health,Lambton Health Unit
"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark District Health Unit"
Middlesex-London Health Unit,Middlesex-London Health Unit
Niagara Region Public Health Department,Niagara Regional Area Health Unit
North Bay Parry Sound District Health Unit,North Bay Parry Sound District Health Unit
Northwestern Health Unit,Northwestern Health Unit
Ottawa Public Health,City of Ottawa Health Unit
Peel Public Health,Peel Regional Health Unit
Peterborough Public Health,Peterborough County-City Health Unit
Porcupine Health Unit,Porcupine Health Unit
"Region of Waterloo, Public Health",Waterloo Health Unit
Renfrew County and District Health Unit,Renfrew County and District Health Unit
Simcoe Muskoka District Health Unit,Simcoe Muskoka District Health Unit
Southwestern Public Health,Oxford Elgin St. Thomas Health Unit
Sudbury & District Health Unit,Sudbury and District Health Unit
Thunder Bay District Health Unit,Thunder Bay District Health Unit
Timiskaming Health Unit,Timiskaming Health Unit
Toronto Public Health,City of Toronto Health Unit
Wellington-Dufferin-Guelph Public Health,Wellington-Dufferin-Guelph Health Unit
Windsor-Essex County Health Unit,Windsor-Essex County Health Unit
York Region Public Health Services,York Regional Health Unit
